particle_id,time_s,x_m,y_m,path_m,solver,abstol,reltol,gating
1002,2.70000000000000000e+03,2.00424983139069227e+05,1.49950548304711236e+05,4.27850609554392463e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,3.60000000000000000e+03,2.00567060159600398e+05,1.49933955427325272e+05,5.70893272221725397e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,4.50000000000000000e+03,2.00709345195484260e+05,1.49917308087381040e+05,7.14148866750144521e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,5.40000000000000000e+03,2.00851838263680867e+05,1.49900606301033753e+05,8.57617414353001777e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,6.30000000000000000e+03,2.00994539381150767e+05,1.49883850084440754e+05,1.00129893620487292e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,7.20000000000000000e+03,2.01137448564855149e+05,1.49867039453761565e+05,1.14519345344192675e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,8.10000000000000000e+03,2.01280565831755637e+05,1.49850174425157922e+05,1.28930098716194880e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,9.00000000000000000e+03,2.01423891198814497e+05,1.49833255014793627e+05,1.43362155842478842e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,9.90000000000000000e+03,2.01567424682994490e+05,1.49816281238834723e+05,1.57815518825242111e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.08000000000000000e+04,2.01711166301258927e+05,1.49799253113449435e+05,1.72290189762923683e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.17000000000000000e+04,2.01855116070571705e+05,1.49782170654808084e+05,1.86786170750230281e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.26000000000000000e+04,2.01999274007897242e+05,1.49765033879083174e+05,2.01303463878151683e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.35000000000000000e+04,2.02143640130200540e+05,1.49747842802449421e+05,2.15842071233988190e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.44000000000000000e+04,2.02288214454447123e+05,1.49730597441083664e+05,2.30401994901367652e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.53000000000000000e+04,2.02432996997603041e+05,1.49713297811164928e+05,2.44983236960266595e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.62000000000000000e+04,2.02577987776634953e+05,1.49695943928874389e+05,2.59585799487040686e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.71000000000000000e+04,2.02723186808510014e+05,1.49678535810395406e+05,2.74209684554434170e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.80000000000000000e+04,2.02868594110195932e+05,1.49661073471913493e+05,2.88854894231607295e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.89000000000000000e+04,2.03014209698661027e+05,1.49643556929616316e+05,3.03521430584163227e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.98000000000000000e+04,2.03160033590874082e+05,1.49625986199693725e+05,3.18209295674154100e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.07000000000000000e+04,2.03306065803804493e+05,1.49608361298337783e+05,3.32918491560115945e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.16000000000000000e+04,2.03452306354422180e+05,1.49590682241742645e+05,3.47649020297082052e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.25000000000000000e+04,2.03598755259697617e+05,1.49572949046104652e+05,3.62400883936605351e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.34000000000000000e+04,2.03745412536601798e+05,1.49555161727622326e+05,3.77174084526775869e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.43000000000000000e+04,2.03892278202106332e+05,1.49537320302496373e+05,3.91968624112249518e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.52000000000000000e+04,2.04039352273183322e+05,1.49519424786929652e+05,4.06784504734257143e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.61000000000000000e+04,2.04186634766805422e+05,1.49501475197127176e+05,4.21621728430630174e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.70000000000000000e+04,2.04334125699945871e+05,1.49483471549296111e+05,4.36480297235823127e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.79000000000000000e+04,2.04481825089578400e+05,1.49465413859645836e+05,4.51360213180924256e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.88000000000000000e+04,2.04629732952677383e+05,1.49447302144387882e+05,4.66261478293689834e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,2.97000000000000000e+04,2.04777849306217628e+05,1.49429136419735936e+05,4.81184094598543743e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
